,id,name,artist,lien,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
4818,4Ke1CYcm2wYDFlOhziFFjK,Fever,Peggy Lee,https://open.spotify.com/track/4Ke1CYcm2wYDFlOhziFFjK,0.833,0.0756,4,-20.822,0.147,0.314,0.0,0.111,0.338,136.007
4819,4vpeKl0vMGdAXpZiQB2Dtd,White Rabbit,Jefferson Airplane,https://open.spotify.com/track/4vpeKl0vMGdAXpZiQB2Dtd,0.551,0.293,2,-12.503,0.0272,0.486,0.000273,0.0864,0.322,106.798
4820,4BP3uh0hFLFRb5cjsgLqDh,Fortunate Son,Creedence Clearwater Revival,https://open.spotify.com/track/4BP3uh0hFLFRb5cjsgLqDh,0.64,0.663,0,-7.516,0.0374,0.201,0.00806,0.152,0.663,132.77
4821,1ynmMEK1fkyiZ6Z6F3ThEt,Centerfold,The J. Geils Band,https://open.spotify.com/track/1ynmMEK1fkyiZ6Z6F3ThEt,0.653,0.677,0,-12.244,0.0396,0.249,0.0,0.403,0.888,114.37
4822,6G08WE2rjuoaspgwcK2xij,Lost Your Mind,Zimmer,https://open.spotify.com/track/6G08WE2rjuoaspgwcK2xij,0.699,0.716,3,-7.497,0.0375,0.325,0.0836,0.111,0.377,100.982
4823,5c5kkAZq4H50Yd4cdlgcxg,Cycle,Teen Daze,https://open.spotify.com/track/5c5kkAZq4H50Yd4cdlgcxg,0.411,0.752,1,-7.711,0.0425,0.413,0.319,0.251,0.233,159.95
4824,37uqBNIiYgCuSF0ppMWzVx,Daylight,Beauvois,https://open.spotify.com/track/37uqBNIiYgCuSF0ppMWzVx,0.691,0.49,11,-12.883,0.275,0.918,0.376,0.0751,0.0385,107.965
4825,7aOxRy9Hlu3UrZx3H80OZr,Goodbye,Hazey Eyes,https://open.spotify.com/track/7aOxRy9Hlu3UrZx3H80OZr,0.525,0.371,8,-7.201,0.15,0.428,0.000196,0.108,0.318,101.913
4826,5gTO879fvJUl6gYQ1Kvz0f,Running,Nyxen,https://open.spotify.com/track/5gTO879fvJUl6gYQ1Kvz0f,0.662,0.848,5,-6.334,0.0618,0.0257,0.0583,0.121,0.259,114.027
4827,0h99zA3r6YdWADT2x9cwTr,I Got You,Leska,https://open.spotify.com/track/0h99zA3r6YdWADT2x9cwTr,0.734,0.462,1,-8.057,0.133,0.449,0.0,0.0882,0.462,99.991
4828,5wQRNkb7OhzJoT1P0OZ4Rw,All Time Low,Jon Bellion,https://open.spotify.com/track/5wQRNkb7OhzJoT1P0OZ4Rw,0.672,0.386,0,-9.715,0.264,0.389,0.0,0.0838,0.529,90.082
4829,3MshXF4YQRoFw82plcsUge,Steal Away,Robbie Dupree,https://open.spotify.com/track/3MshXF4YQRoFw82plcsUge,0.676,0.624,2,-9.213,0.0345,0.434,0.0398,0.576,0.661,122.261
4830,1hGy2eLcmC8eKx7qr1tOqx,Beautiful Girls,Sean Kingston,https://open.spotify.com/track/1hGy2eLcmC8eKx7qr1tOqx,0.762,0.661,1,-6.075,0.0687,0.15,0.0,0.256,0.769,130.009
4831,5kxddRG1RZaZROadk7iC4D,Bartender (feat. Akon),T-Pain,https://open.spotify.com/track/5kxddRG1RZaZROadk7iC4D,0.675,0.394,8,-8.539,0.133,0.0611,0.0,0.214,0.405,104.987
4832,4OKf7CcYuw5H2HptkcKxcP,You're My Best Friend - Remastered 2011,Queen,https://open.spotify.com/track/4OKf7CcYuw5H2HptkcKxcP,0.518,0.761,0,-7.025,0.0452,0.158,0.00765,0.0715,0.576,118.738
4833,3xaBJGjMnrbuu2wlI5itEv,That's All - Single Version,Genesis,https://open.spotify.com/track/3xaBJGjMnrbuu2wlI5itEv,0.61,0.419,4,-15.334,0.0423,0.221,0.00964,0.0506,0.848,175.255
4834,6V58LMEeGuOfLkCRJKnItb,Two Worlds,Phil Collins,https://open.spotify.com/track/6V58LMEeGuOfLkCRJKnItb,0.658,0.701,5,-10.254,0.0835,0.235,0.00601,0.244,0.382,110.053
4835,0loKEMa9DP6mLibdFMe6Uv,You'll Be In My Heart,Glenn Close,https://open.spotify.com/track/0loKEMa9DP6mLibdFMe6Uv,0.412,0.141,9,-16.999,0.0373,0.884,0.0,0.169,0.29,103.103
4836,1m1lMBFsQmFHNEceXYHL0K,Son of Man,Phil Collins,https://open.spotify.com/track/1m1lMBFsQmFHNEceXYHL0K,0.641,0.863,9,-5.284,0.0346,0.0379,0.000829,0.335,0.677,141.634
4837,3E99KpWAcYEnj64e86y6u9,Strangers Like Me,Phil Collins,https://open.spotify.com/track/3E99KpWAcYEnj64e86y6u9,0.672,0.804,3,-7.021,0.0406,0.124,0.000312,0.121,0.557,119.841
